Name	AREA	Category	Photo	Latitude	Longitude
Doggy Style	Hrakleio	Pet Shop		38,04606	23,77133
Statheropoulos	Hrakleio	Pet Shop		38,04431	23,76188
The Zoo's Station	Kalamaki	Pet Shop		37,91549	23,71719
The Pet World	Kalamaki	Pet Shop		37,9139	23,71122
Pet Shop	Kalamaki	Pet Shop		37,91615	23,71793
Papanikolaou	Kalamaki	Pet Shop		37,99221	23,69157
Tropic Zoo	Kalamaki	Pet Shop		37,99221	23,69157
Minwas	Petroupoli	Pet Shop		38,03377	23,67902
Dog.gr	Petroupoli	Pet Shop		38,04807	23,68258
Koutra	Petroupoli	Pet Shop		38,03811	23,69222
Pet Club	Petroupoli	Pet Shop		38,04146	23,69549
Golden Champion	Petroupoli	Pet Shop		38,04396	23,68047
Tweety	Xaidari	Pet Shop		38,01317	23,65346
Power	Xaidari	Pet Shop		38,0053	23,66428
Dias	Xaidari	Pet Shop		38,01193	23,65359
Pet Stop	Vari	Pet Shop		37,83396	23,80393
Pet Store	Vari	Pet Shop		37,83398	23,80391
Pet Gallery	Vari	Pet Shop		37,8205	23,7985
Pet Shop Mania	Galatsi	Pet Shop		38,01979	23,75661
Pet Shop	Galatsi	Pet Shop		38,02118	23,7501
Pet Shop	Galatsi	Pet Shop		38,01601	23,75146
Petflirt	Galatsi	Pet Shop		38,01544	23,75053
Pet Shop	Galatsi	Pet Shop		38,0159	23,74012
Kanellos Kennel	Pallini	Pet Shop		37,99045	23,87775
Pallini Kennels Pet Resort	Pallini	Pet Shop		38,00351	23,88352
Doganis	Pallini	Pet Shop		37,9889	23,85041
Ragousi	Nea Erythraia	Pet Shop		38,08875	23,82036
Douvos	Nea Erythraia	Pet Shop		38,09842	23,81054
Pet's Beauty Salon	Nea Erythraia	Beauty Salon		38,10095	23,81859
Agios Modestos Hospital	Nea Erythraia	Hospital		38,10363	23,83058
Stavraki	Nea Erythraia	Pet Shop		38,10405	23,82141
Makis Zoo	Vrilissia	Pet Shop		38,04125	23,83199
Oikopet	Vrilissia	Pet Shop		38,03306	23,83345
Pet Shop	Vrilissia	Pet Shop		38,04396	23,84411
Theodorakopoulos Stefanos	Agioi Anargyroi	Pet Shop		38,04603	23,74182
Fytas-Kyriazi	Agioi Anargyroi	Pet Shop		38,0033	23,72937
Papadakis	Agioi Anargyroi	Pet Shop		38,0517	23,72993
Filozwiki Gwnia	Agioi Anargyroi	Pet Shop		38,04544	23,74073
Pet Shop	Agioi Anargyroi	Pet Shop		38,03619	23,72398
Grooming Center	Agioi Anargyroi	Pet Shop		38,02954	23,72372
Elliniki Filozwiki Etaireia	Nea Xalkidona	Pet Shop		38,02574	23,72871
Pet World	Nea Xalkidona	Pet Shop		38,02865	23,73023
Pet Shop	Nea Xalkidona	Pet Shop		38,02587	23,72851
Pet4U.gr	Nea Xalkidona	Pet Shop		38,02855	23,73041
Xrysomallis	Argyroupoli	Pet Shop		37,90792	23,75273
Gouvras	Argyroupoli	Pet Shop		37,91553	23,75476
Douvli	Argyroupoli	Pet Shop		37,93218	23,70044
Pet Shop	Argyroupoli	Pet Shop		37,90038	23,7532
Stellas	Vyronas	Pet Shop		37,9589	23,76179
Hellas Aquarium	Vyronas	Pet Shop		37,95933	23,7513
Loulaki	Vyronas	Pet Shop		37,95828	23,75356
Tsakalos	Vyronas	Pet Shop		37,95687	23,76372
Lubi	Liosia	Pet Shop		38,07011	23,70378
Liosis	Liosia	Pet Shop		38,07857	23,70322
Vasileiou	Liosia	Pet Shop		38,08722	23,70569
Atlantic Pet	Lykovrisi	Pet Shop		38,06886	23,77689
Bulltrade	Lykovrisi	Pet Shop		38,0719	23,78515
Animals Club	Lykovrisi	Pet Shop		38,07062	23,78428
Zwotrofes Stavrou	Gerakas	Pet Shop		38,01058	23,84482
