Breed	Origin	Minimum Weight(Kg)	Maximum weight(Kg)	Recommended Daily Walk(klm)	Recommended Daily Play(mins)	American Kennel Club
Australian Shepherd	United States	25	29	6	60	Herding Group
Bearded Collie	Scotland	18	27	4	30	Herding Group
Beauceron	France	40	50	6	60	Herding Group
Belgian Shepherd (Tervuren)	Belgium	25	35	6	45	Herding Group
Belgian Shepherd Dog (Groenendael)	Belgium	25	35	6	45	Herding Group
Belgian Shepherd Dog (Malinois)	Belgium	25	35	6	45	Herding Group
Border Collie	Scotland, England, Wales	14	20	6	45	Herding Group
Bouvier des Flandres	Belgium	34	50	4	60	Herding Group
Briard	France	30	35	4	30	Herding Group
Collie, Rough	Scotland	27	34	4	30	Herding Group
Collie, Smooth	Scotland	27	34	4	30	Herding Group
German Shepherd Dog	Germany	35	40	6	60	Herding Group
Old English Sheepdog	England	25	30	6	60	Herding Group
Polish Lowland Sheepdog	Poland	14	16	6	60	Herding Group
Puli	Hungary	11	16	4	30	Herding Group
Pyrenean Shepherd	France	9	11	4	30	Herding Group
Shetland Sheepdog	Scotland	7	13	4	10	Herding Group
Swedish Vallhund	Sweden	11	15	4	30	
Welsh Corgi, Cardigan	Wales	11	14	2	10	FSS
Welsh Corgi, Pembroke	Wales	11	14	2	10	FSS
Entlebucher Mountain Dog	Switzerland	25	30	4	30	FSS
Cierny Sery	Slovakia	20	30	4	30	FSS
Rat Terrier	United States	25	35	4	30	FSS
Cesky Terrier	Czech Republic	6	10	3	30	FSS
Russell Terrier	England	6	8	4	30	FSS
Peruvian Hairless Dog	Peru	12	23	4	30	FSS
Sloughi	Morocco	25	30	6	60	FSS
English Coonhound	United States	18	30	4	30	FSS
Treeing Walker Coonhound	United States	23	32	6	60	FSS
Chinook	United States	25	32	4	30	FSS
Finnish Lapphund	Finland	15	17	4	30	FSS
Bergamasco Shepherd	Italy	10	12	4	10	FSS
Miniature American Shepherd	United States	10	12	4	20	FSS
Pumi	Hungary	10	12	4	30	FSS
Wirehaired Vizsla	Hungary	30	40	4	45	FSS
Boerboel	South Africa	30	40	6	45	FSS
Podenco Canario	Spain	30	40	6	30	FSS
Portuguese Podengo	Portugal	30	40	3	30	FSS
Thai Ridgeback	Thailand	10	12	4	30	FSS
Basset Griffon Vendιen, Grand	France	10	12	2	10	FSS
Korean Jindo Dog	South Korea	16	23	2	10	FSS
Eurasier	Germany	18	32	4	30	FSS
German Spitz	Germany	8	12	4	30	FSS
Karelian Bear Dog	Finland	20	23	2	10	FSS
Norrbottenspets	Sweden	15	20	4	30	FSS
Belgian Shepherd Dog (Laekenois)	Belgium	25	35	4	10	FSS
Berger Picard	France	23	32	6	45	FSS
Catahoula Cur	United States	16	37	4	30	FSS
Mudi	Hungary	8	13	4	30	FSS
Schapendoes	Netherlands	5	10	4	30	FSS
Barbet	France	12	18	4	10	FSS
Bracco Italiano	Italy	15	20	4	30	FSS
Drentse Patrijshond	Netherlands	8	10	4	30	FSS
German Longhaired Pointer	Germany	10	18	4	10	FSS
Kooikerhondje	Netherlands	9	18	4	60	FSS
Lagotto Romagnolo	Italy	11	16	6	30	FSS
Mόnsterlδnder, Small	Germany	15	25	4	60	FSS
Portuguese Pointer	Portugal	20	30	6	30	FSS
